create_time|ip_location|user_id|nickname|content|isSpammer
1711979350|湖北|1452497815|幸运的男人11|俠哥之前提到的这个@老陈只玩优质股 选出的股是真的神奇，同他提前埋伏横盘已久的日久光电也开始了上升趋势同他水下低吸的大连圣亚直接大漲，|0
1711733548|辽宁|6244210876|悦君大叔|他们可以做坏事，但中国不能说|0
1711679704|吉林|5976756567|皮蛋在肠爆炒小易米澳驴肉粥|可恶的鬼子把我们的同胞明浩也变成这样|1
1711980285|福建|3177339470|佚名一一一|小日排放核污水的同时，同步收购了全球很多海产品公司，细思极恐！小区周围突然多了好多海鲜专卖店。|1
1711738445|广东|6960600963|左撇小李|英国脱欧也是中国黑客指使的|1
1711672747|湖北|6926753956|HateDefense|诶 日本 诶 美国 诶 资本|0
1711979449|广东|7834155369|深海蓝2023|4月份到。哈哈。我们的海鲜好多在日本海捕捞的|0
1711738472|广东|6209665544|好喝的酸梅汁|他们都歇斯底里了|0
1711672834|安徽|7890056474|Twittycherry|你不要这样好吗|0
1711979601|浙江|2293709284|人称胡同学|这得问砖家呢|0
1711761280|江西|7158826390|学好矛盾论|与其反思自己，不如指责别人|0
1711686167|新疆|2953572152|遇九_ss|你不要这样说话好吗，你长得好吗，家人们，你们说，怎么办|0
1711979530|福建|7427705051|云中明月-|已经到浙江附近了|0
1711786165|四川|6168516489|川轻化汪Sir|Just ridiculous &amp; shameless |0
1705665129|辽宁|7861705058|巍巍时代_G|核武器的放射性浓度可比核电站废水高到不知道哪里去了，但，你懂的|0
1711674248|广东|6521963030|小森零|有条章鱼混进去了|0
1711992050|北京|1048097084|努力赚猫粮|今年夏天吧，大概是秋天捕鱼季节|1
1711807656|安徽|3310313080|一位不愿透露姓名的热心乘客|普京几天不出来，牠们快乐的讨论着罹癌、正变、受伤、带着情人躲入地堡……凯特的事，也是牠们先八卦的，然后别人吃个瓜，牠们就生气受不了了|1
1705665718|广西|7880446370|战狠马上到你家门口|日本新闻已经报道了，某国渔船和俄罗斯渔船同时出现在福岛附近的洋面捕鱼。|0
1711707915|湖南|7821813597|Moka_咬口小蛋糕|这个有什么好开玩笑的吗|0
1711979413|浙江|7734254360|用户7734254360|不影响收盘小赚|0
1705664967|安徽|7832887023|聋听风雨|三大爷家的无比甘甜|0
1711794329|上海|2398324530|原来是张Auntie|西方世界真的堕落了。希望中国早日成为人类之光。|0
1711672706|河北|7827718757|TorturedPoet|可恶的鬼子把我们那谁搞成这样|0
1711980357|福建|3177339470|佚名一一一|不用着急呀，听说定点排放，管道+远程运输，去了全球都盼望去的地方。|1
1711753523|江苏|7813844574|sheoheardes|英美现在最大的优势可能就是媒体了，大家还能扯淡一阵子。。。。。。|0
1705671079|江苏|7336759024|格奈森诺贰号舰|核武器引爆所有的核材料都进行了充分的裂变，大部分转化为能量，可比反应堆的核材料“干净”的多，这也就是广岛长崎中心点能住人，福岛核电站不行的原因|0
1711697822|江西|7895139017|黑化版东雪莲|不要这样好嘛|0
1711982975|广东|1739394773|人无猿人的一些事一些情|是核污染的水，不是废水|0
1705665264|贵州|1401381683|blackdonkey|要怎么区分朝鲜海鲜和日本水产？头痛|0
1711747236|辽宁|1077213251|脑袋有点热|也就剩嘴炮了，让它耍吧，别再憋出白内障了|0
1711692635|湖北|7877616155|爱说实话的个人微博|我要笑死了|0
1705665475|安徽|3229230934|江佑司马|对于这个国家 切断粮食供应 让冬季寒潮 梅雨 台风 炸弹气旋收拾它|0
1711747124|广东|2807298904|假如我是真的路飞|刘老师好。|0
1711672697|山东|5175456804|baebaealice|我也想变异|0
1711983756|江苏|6483555085|图阿库娅|这无所谓！我们这边沿海也都是核电站！一样排！只是没人提这事！|0
1711806208|山东|6369213631|西风隆|这国不好，那国很坏，只有那些搞侵略，搞恐怖的国家是好的，例如，俄国。俄国在你们眼里一定是好的|1
1711675602|辽宁|7723751922|珍猫神|@小獭冰沙_|0
