create_time|ip_location|user_id|nickname|content|isWakeSpammer
1712161358|江西|5703878082|小陈可儿|最近的风太大了，都不敢出门，怕被吹走。愿大家都平平安安的！|0
1712131924|江苏|3098057367|柚子茶清火|江苏如东有震感|0
1712049501|浙江|7792131817|棾氶|上前线也是在指挥室，有本事去拿枪去战斗|0
1712049624|河南|7903289690|困了q|关注|0
1712091091|辽宁|2447561973|小柿子soul|飞了这么远没被发现|0
1712132849|广东|2189943532|冰域魔尊|潮州晃了好几下，我还以为错觉！|0
1712072534|北京|6283206068|美丽的师叔|伊朗会不会怂啦|1
1712165274|江苏|6979005358|名本本名新|台湾之间回归祖国吧，别折腾了！！赶紧回归！！|0
1712049566|四川|1671109627|包容万物恒河水|富士电视台采访日本防卫省消息人士：“有人问这个视频是不是假的，一看就是假的。”|1
1712062312|上海|7608465997|东夕月少年|美国支持了呗|1
1712152115|安徽|6824653916|小酌一杯三儿|好恐怖|0
1712071757|山东|1496844125|背有玄武|强烈谴责三次|1
1711927775|江苏|1368860581|老周今年28|以后就没有乌克兰了|0
1712051717|山西|1205129952|CreasyBear0_0|美刚投了弃权票，以要不予余力脱儿子下水了|1
1712061202|陕西|7525121084|北郡先锋|“报告太君，有人侮辱你〞 “胡说，假的，没有的事”|1
1705756150|河南|7833322505|去海边吧2023|异地用警|0
1712070092|北京|7833917086|摩诘州牧|就是犹太复国主义纳粹控制着西方各国包括美帝。二战不也这样。希特勒怎么起来的，不就是罗斯柴尔德家族支持。希特勒也是犹太人啊|0
1712050033|山东|1514104480|长风雁云|中国也不出来抗议了？|0
1712131782|浙江|5899979709|缘缘愿远万|浙江金华也有震感??????|0
1712047032|广东|6436974243|享受过程ml|以色列真的装了波大的|0
1712071669|上海|7823716819|心和君|戰斗民族不威武不霸氣了嗎？哈哈，有句話說得好：邪不勝正！|0
1712079940|中国澳门|2681951631|江湖中的Seaman|别拉我下水，不关我的事。|1
1712055899|上海|7193453311|Wendy温蒂妈妈|就这还允许参加奥运会？有天理吗|1
1712072336|湖北|7768055319|梦回22六夏|Peace|0
1712080853|甘肃|7637254713|老悍卒|哎呦，这是把自己打扮成好人了，说得好像他自己是宋江的卵袋——仁义蛋蛋，搞笑|1
1712150852|福建|6402335581|43号路口|祈祷平安 灾厄快快过去|0
1712157162|河北|3903009805|Kiss啵啵奶|愿平安|0
1712009570|河南|7869550925|牧羊人-200109|还包括给乌克兰前总统亚努科维奇在莫斯科买大别墅|0
1711552112|广东|1708487935|梦里天空有星河|你不是吵吵着取消各种安检制度么，你怎么提前预判的，是境外有人让你吹什么风么|1
1712009217|四川|5531268375|阿飞耶咦耶|@阿飞猪嘿哈 哈哈哈哈哈哈哈哈哈哈哈哈哈哈|0
1712076374|湖南|1799871447|麦莎同学|以色列该死。|1
1712152262|北京|6414269229|江水生星|比较中肯|0
1712064564|甘肃|3978690947|超然行在|以色列兽行累累！|1
1712042949|上海|5663263854|Rachel美猪猪|@麦片阿宁|0
1712163779|四川|7862100144|布且阿迪|愿平安|0
1711983603|安徽|7899700539|十八般吴毅0517|关注|0
1711911522|北京|2949304423|哈啰瀚远|刚|0
1712150994|山东|1624692357|睡的比较晚|打四折的问题不解释一下？|0
1712052976|湖北|2091117220|LiuuuYinnng|@可劲儿闹的蛋黄派 来看阿巴斯|0
1712076043|北京|2200194867|MMX随缘|所以是不是错怪希特勒了？|0
1711884778|四川|3319125114|渊源物语|难得遇到一个懂历史，讲道理的财经博主|0
1712165785|广东|6313041755|潮州吃喝玩乐chaozhoucity|早上不是说0死亡吗|0
1712166061|河北|6897313282|等噔邓_|平安|0
1712075879|山东|7730589166|亚号YH|总是孝的那么及时|1
1712069519|湖北|5466022471|昊林K|鱿鱼：以色列是文明国家|0
1712072417|辽宁|1413417734|Iiyuke|如果昨天发，可能还有人信。今天不是4.1了|1
1712075447|福建|5354137767|就叫小卡拉咪|谴责部|0
1712132236|江西|1148519354|C时无忆|赣州震感强烈|0
1712131894|浙江|2883418203|Monica-gogo|台州也感觉到了|0
1712098982|云南|1999937877|深藏功与名俯身重头来|可以从瑞银撤款了|0
1711660256|山东|5729293820|Angel_静好|可怕|1
1712057136|浙江|1424380301|Soarhe0624|啊这|0
1712051903|辽宁|6897962647|最爱你低头浅笑嫣然|美国这是要挑起s3啊，再看看|1
1712071138|山东|6222235256|用户6222235256|不多？1小时22分还是撑得住的。打下基辅再吹不晚|1
1712072966|广西|3300411173|手机用户3300411173|留给侵略者的时间不多|1
1712153604|浙江|7751270077|Chen_半只梨|愿平安|0
1712046999|河北|6836946819|大马哥789|从以色列就可以看出（农夫与蛇的故事）继而发展成（鸠占鹊巢）|1
1706974757|吉林|6170399150|仁者寿8882017|以前当真看，时间长了台独愈演愈烈，感觉误判情况太多，已经很长时间不看了。主持人确实不错。|0
1712051523|辽宁|1105235415|那一年春夏秋冬都很冷|轰炸大使馆，没有武德啊！|1
1712147569|湖南|7487019430|熬到凌晨两点半|最近太多灾多难了吧，愿大家都平安|0
1712057805|北京|7811153611|不合时宜2024|罗生门|0
1712048239|广西|7291260158|骑驴找马两三回|那时候就叫佐藤家国呗。像叫我们村为刘家村一样|0
1712046492|辽宁|2012083485|飞翔的vincent|社死和射死，两权相害取其轻|1
1712078179|新疆|6221581515|人生风景线上|驻南使馆呢？|0
1712133589|广东|6980994666|云卷明舒|别说，刚刚连我这睡在床上有种轻微的震颤感，我还以为是自己的错觉，这次地震好高啊|0
1712132696|广东|6014182607|Turkeukra92890|廣東，家裡的吊燈一直晃，感覺房子也在晃，當時腿都軟了|0
1712050118|广东|2443143731|财源滚滚来2022|老壶认为，在俄罗斯面前，北约假动作多多，难道是传说中的纸老虎|0
1712079875|广东|6853897095|晴子的粑粑|我想要再会长江海报！最好有签名的|0
1712165153|广东|1653321800|亲亲猫熊|难怪人家不待见学新闻的了|0
1712075085|广东|6381551137|我爱阳光海岸|愿全世界和平无战争！🙏🙏|0
1712057366|福建|6245936579|我好像不太可爱|心里暖暖的|0
1712071451|山东|7799238057|用户868957183426|转发微博|0
1711898677|澳大利亚|6904929461|子澜2018|有boys help boys的团体但是你们不愿意加入啊，绿民不就是吗|0
1712050907|北京|6063472623|红箭头影视传媒|天空|0
1711712432|重庆|5518078508|Facef_ucker|偷走你的卡是什么|0
1711740667|广东|6972195967|荔芋yelding|看评论区失望的 redvelvet是皱纹村花杀猪记|0
1705755683|四川|1747634272|赵指导好生整|搓澡是吧|0
1712072533|山东|1391415770|DRMach|印度敬的是白牛，献祭红牛有什么关系|1
1712051501|山东|2549495477|我才华横溢你造吗|笑拥了|0
1712163333|河南|7499021240|半初苒兮君不知|平安|0
1712132495|浙江|7412108584|阳扬妈妈|台州震感明显|0
1712070092|北京|7833917086|摩诘州牧|就是犹太复国主义纳粹控制着西方各国包括美帝。二战不也这样。希特勒怎么起来的，不就是罗斯柴尔德家族支持。希特勒也是犹太人啊|0
1712131690|中国台湾|6375189636|淡定無事一身輕|7.58 分好可怕拿著手機把大門打開蹲在地上搖得好厲害|0
1712131909|福建|5920352749|峰回路转至山巅|打车在车里等红绿灯??，汽车直接在蹦哒，跳起来了，司机和我都懵了|0
1711965741|内蒙古|2049249621|皇家_狗粮|关我屁事，我管它girls help girls真假，girls hit girls的时候我了乐就完了|0
1712051664|陕西|1810296470|逗比的带刀侍卫|??倭奴国沉没|0
1712077646|广西|7764504779|青秀余文乐|除了谴责，地球上已经没人能镇得住以色列的疯狂啦～|1
1711899224|上海|7874420611|贝拉爷叔嘎三胡|乌克兰跟谁交朋友得看俄罗斯脸色，够霸道的。|0
1711967556|广东|1949820971|远程一般冰胖妞|令和板载|0
1711978880|山东|7083204030|再也不想做抗菌实验了|还得是网友们会整活啊家人们|0
1712078724|江苏|6451509372|弋心执着|希望美，以色列，日本早点消失，没有他们世界大和平|1
1711819716|河南|3201761547|老杨老巧|戏子误国哈哈哈😹|1
1712158595|河北|5306450567|Raseph_Joinco7|愿平安|0
1712055760|广东|7882703183|胡拉爱吃鱼|是可忍孰不可忍|0
